host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:32:34.845,147289,1.6836,0.239,0.2523,0.2262
2026-07-15T10:32:34.949,147392,1.679,0.2408,0.2495,0.2248
2026-07-15T10:32:35.051,147495,1.6859,0.2408,0.2559,0.2248
2026-07-15T10:32:35.155,147598,1.6827,0.2431,0.2545,0.218
2026-07-15T10:32:35.257,147701,1.6845,0.2399,0.2491,0.2244
2026-07-15T10:32:35.361,147804,1.6927,0.2399,0.255,0.2194
2026-07-15T10:32:35.463,147907,1.6854,0.2418,0.2545,0.2198
2026-07-15T10:32:35.567,148010,1.685,0.2413,0.255,0.2285
2026-07-15T10:32:35.669,148113,1.6836,0.2413,0.2518,0.2258
2026-07-15T10:32:35.772,148216,1.6941,0.2404,0.2568,0.2244
2026-07-15T10:32:35.876,148319,1.6854,0.2395,0.2545,0.2235
2026-07-15T10:32:35.979,148422,1.6891,0.2408,0.2536,0.2253
2026-07-15T10:32:36.082,148525,1.6904,0.2395,0.255,0.2239
2026-07-15T10:32:36.185,148628,1.6959,0.2399,0.2559,0.223
2026-07-15T10:32:36.287,148731,1.6923,0.2436,0.2564,0.2271
2026-07-15T10:32:36.390,148834,1.6914,0.2349,0.2527,0.2285
