host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:37:48.832,18735,1.6863,0.245,0.25,0.2244
2026-07-15T10:37:48.985,18888,1.6754,0.2427,0.2568,0.2244
2026-07-15T10:37:49.138,19041,1.6767,0.2418,0.2541,0.2262
2026-07-15T10:37:49.291,19194,1.6726,0.2427,0.2582,0.2267
2026-07-15T10:37:49.444,19347,1.6763,0.2372,0.2545,0.2262
2026-07-15T10:37:49.597,19500,1.6781,0.2413,0.2555,0.2244
2026-07-15T10:37:49.750,19653,1.6818,0.2413,0.2532,0.2267
2026-07-15T10:37:49.903,19806,1.6763,0.2427,0.2518,0.2267
2026-07-15T10:37:50.056,19959,1.6767,0.2431,0.2532,0.2226
2026-07-15T10:37:50.209,20112,1.6822,0.2413,0.2532,0.2239
2026-07-15T10:37:50.362,20265,1.6799,0.245,0.2591,0.2239
2026-07-15T10:37:50.515,20418,1.6795,0.244,0.2541,0.2244
2026-07-15T10:37:50.668,20571,1.6772,0.2399,0.2523,0.2253
2026-07-15T10:37:50.821,20724,1.6763,0.2422,0.2555,0.228
2026-07-15T10:37:50.974,20877,1.6804,0.2422,0.2545,0.228
2026-07-15T10:37:51.127,21030,1.6744,0.245,0.2527,0.2212
2026-07-15T10:37:51.280,21183,1.6758,0.2408,0.2513,0.2184
2026-07-15T10:37:51.433,21336,1.6763,0.2427,0.2541,0.2267
2026-07-15T10:37:51.586,21489,1.679,0.2454,0.2555,0.2235
2026-07-15T10:37:51.738,21642,1.6749,0.2418,0.2559,0.2262
2026-07-15T10:37:51.892,21795,1.6754,0.2445,0.255,0.2294
2026-07-15T10:37:52.045,21948,1.6767,0.2404,0.2541,0.2253
2026-07-15T10:37:52.198,22101,1.6767,0.2418,0.2541,0.228
2026-07-15T10:37:52.351,22254,1.6758,0.2436,0.2523,0.2244
2026-07-15T10:37:52.504,22407,1.6781,0.2413,0.2536,0.2235
2026-07-15T10:37:52.657,22560,1.6772,0.2418,0.2541,0.2244
2026-07-15T10:37:52.810,22713,1.6744,0.2422,0.26,0.2258
2026-07-15T10:37:52.963,22866,1.6776,0.2454,0.255,0.2285
2026-07-15T10:37:53.116,23019,1.6744,0.2431,0.2536,0.2244
2026-07-15T10:37:53.268,23172,1.6744,0.2445,0.2559,0.2244
2026-07-15T10:37:53.422,23325,1.6781,0.2431,0.255,0.2253
2026-07-15T10:37:53.575,23478,1.6749,0.244,0.2559,0.2276
2026-07-15T10:37:53.728,23631,1.6772,0.244,0.2564,0.2294
2026-07-15T10:37:53.881,23784,1.6763,0.2427,0.2564,0.2239
2026-07-15T10:37:54.034,23937,1.6804,0.2454,0.2527,0.2248
2026-07-15T10:37:54.187,24090,1.6754,0.2422,0.2536,0.2303
2026-07-15T10:37:54.340,24243,1.6795,0.2436,0.2545,0.2253
2026-07-15T10:37:54.493,24396,1.6731,0.2399,0.2555,0.2276
2026-07-15T10:37:54.645,24549,1.6772,0.2408,0.2545,0.2276
2026-07-15T10:37:54.799,24702,1.6735,0.2445,0.2541,0.2258
2026-07-15T10:37:54.952,24855,1.6767,0.2418,0.2523,0.2271
2026-07-15T10:37:55.105,25008,1.674,0.245,0.2568,0.229
2026-07-15T10:37:55.258,25161,1.6808,0.2436,0.255,0.2253
2026-07-15T10:37:55.410,25314,1.6763,0.2408,0.2559,0.2262
2026-07-15T10:37:55.563,25467,1.6662,0.2454,0.2564,0.2294
2026-07-15T10:37:55.716,25620,1.6712,0.2427,0.255,0.2267
2026-07-15T10:37:55.870,25773,1.6744,0.2468,0.2491,0.2271
2026-07-15T10:37:56.022,25926,1.6767,0.2436,0.2545,0.2235
2026-07-15T10:37:56.175,26079,1.6749,0.2399,0.2513,0.2262
2026-07-15T10:37:56.329,26232,1.6749,0.2472,0.2564,0.2212
2026-07-15T10:37:56.482,26385,1.6781,0.2408,0.2545,0.2253
2026-07-15T10:37:56.635,26538,1.6708,0.2413,0.2532,0.2253
2026-07-15T10:37:56.787,26691,1.6726,0.239,0.2482,0.2239
2026-07-15T10:37:56.940,26844,1.6763,0.2427,0.2568,0.228
2026-07-15T10:37:57.093,26997,1.6772,0.2454,0.2527,0.2235
2026-07-15T10:37:57.246,27150,1.6763,0.2431,0.2545,0.228
2026-07-15T10:37:57.400,27303,1.6749,0.2422,0.25,0.2221
2026-07-15T10:37:57.552,27456,1.6744,0.2422,0.2513,0.2253
2026-07-15T10:37:57.706,27609,1.685,0.2386,0.2559,0.2267
2026-07-15T10:37:57.858,27762,1.6845,0.2445,0.2577,0.2267
2026-07-15T10:37:58.011,27915,1.6827,0.239,0.2509,0.2239
2026-07-15T10:37:58.164,28068,1.6767,0.2408,0.2509,0.2239
2026-07-15T10:37:58.318,28221,1.6754,0.2404,0.2527,0.2203
2026-07-15T10:37:58.470,28374,1.6749,0.2436,0.2532,0.2294
2026-07-15T10:37:58.624,28527,1.6726,0.2445,0.2532,0.228
2026-07-15T10:37:58.777,28680,1.6717,0.2468,0.2555,0.2253
2026-07-15T10:37:58.929,28833,1.6722,0.2395,0.2564,0.2271
2026-07-15T10:37:59.082,28986,1.6667,0.2436,0.2527,0.223
2026-07-15T10:37:59.236,29139,1.669,0.239,0.2555,0.2253
2026-07-15T10:37:59.388,29292,1.6681,0.2422,0.2541,0.2271
2026-07-15T10:37:59.542,29445,1.6699,0.2399,0.2555,0.223
2026-07-15T10:37:59.695,29598,1.6681,0.2413,0.2527,0.2267
2026-07-15T10:37:59.847,29751,1.6653,0.2381,0.2541,0.2244
2026-07-15T10:38:00.001,29904,1.6667,0.2431,0.2527,0.2258
2026-07-15T10:38:00.154,30057,1.669,0.2413,0.2577,0.2258
2026-07-15T10:38:00.307,30210,1.6699,0.2463,0.2573,0.2276
2026-07-15T10:38:00.459,30363,1.6735,0.2463,0.2536,0.228
2026-07-15T10:38:00.613,30516,1.6726,0.239,0.2518,0.2262
2026-07-15T10:38:00.765,30669,1.6708,0.2386,0.2532,0.2226
2026-07-15T10:38:00.918,30822,1.6708,0.2422,0.2536,0.2244
2026-07-15T10:38:01.071,30975,1.6712,0.2468,0.2527,0.2262
2026-07-15T10:38:01.224,31128,1.6653,0.2418,0.2532,0.2253
2026-07-15T10:38:01.378,31281,1.674,0.2395,0.255,0.2267
2026-07-15T10:38:01.531,31434,1.6667,0.2395,0.2527,0.2248
2026-07-15T10:38:01.684,31587,1.6667,0.2427,0.2559,0.2198
2026-07-15T10:38:01.836,31740,1.6694,0.244,0.2532,0.2253
2026-07-15T10:38:01.990,31893,1.6699,0.2404,0.2559,0.2262
2026-07-15T10:38:02.142,32046,1.6722,0.2436,0.2568,0.2244
2026-07-15T10:38:02.296,32199,1.6658,0.2399,0.2532,0.228
2026-07-15T10:38:02.449,32352,1.6671,0.2454,0.2545,0.2285
2026-07-15T10:38:02.602,32505,1.6712,0.2413,0.2541,0.2262
2026-07-15T10:38:02.754,32658,1.6699,0.2436,0.2568,0.2253
2026-07-15T10:38:02.908,32811,1.6658,0.2472,0.2568,0.2244
2026-07-15T10:38:03.061,32964,1.6685,0.2395,0.2527,0.2248
2026-07-15T10:38:03.213,33117,1.6708,0.2404,0.2495,0.2253
2026-07-15T10:38:03.366,33270,1.6676,0.2408,0.2513,0.2271
2026-07-15T10:38:03.519,33423,1.6712,0.2376,0.255,0.2239
2026-07-15T10:38:03.672,33576,1.6708,0.2431,0.2564,0.2244
2026-07-15T10:38:03.825,33729,1.6699,0.244,0.2509,0.2248
2026-07-15T10:38:03.978,33882,1.6699,0.2431,0.2564,0.2253
2026-07-15T10:38:04.131,34035,1.6685,0.2459,0.2555,0.2253
2026-07-15T10:38:04.285,34188,1.6649,0.2418,0.2573,0.2276
2026-07-15T10:38:04.438,34341,1.6708,0.2445,0.2518,0.2244
2026-07-15T10:38:04.590,34494,1.6731,0.2404,0.2541,0.2253
2026-07-15T10:38:04.744,34647,1.6708,0.2395,0.2509,0.2244
2026-07-15T10:38:04.896,34800,1.6694,0.2427,0.2582,0.2253
2026-07-15T10:38:05.050,34953,1.6649,0.2399,0.25,0.2258
2026-07-15T10:38:05.203,35106,1.6676,0.2418,0.2523,0.2253
2026-07-15T10:38:05.355,35259,1.6703,0.2408,0.2536,0.2285
2026-07-15T10:38:05.509,35412,1.6722,0.2413,0.2509,0.223
2026-07-15T10:38:05.661,35565,1.6685,0.2399,0.2587,0.2248
2026-07-15T10:38:05.815,35718,1.6731,0.244,0.2532,0.2244
2026-07-15T10:38:05.968,35871,1.6699,0.2386,0.2495,0.2253
2026-07-15T10:38:06.120,36024,1.6708,0.2413,0.2536,0.2212
2026-07-15T10:38:06.273,36177,1.669,0.2399,0.2513,0.2271
2026-07-15T10:38:06.427,36330,1.6731,0.2445,0.2587,0.2271
2026-07-15T10:38:06.580,36483,1.6685,0.2427,0.2564,0.2216
2026-07-15T10:38:06.733,36636,1.669,0.2436,0.2541,0.229
2026-07-15T10:38:06.885,36789,1.6681,0.2422,0.2518,0.2258
2026-07-15T10:38:07.039,36942,1.6681,0.244,0.2532,0.2262
2026-07-15T10:38:07.192,37095,1.6712,0.2427,0.2541,0.2235
2026-07-15T10:38:07.344,37248,1.6671,0.2445,0.2532,0.2294
2026-07-15T10:38:07.498,37401,1.6676,0.245,0.2555,0.2253
2026-07-15T10:38:07.650,37554,1.669,0.2463,0.2587,0.2226
2026-07-15T10:38:07.803,37707,1.6653,0.2404,0.2523,0.2248
2026-07-15T10:38:07.956,37860,1.6735,0.2427,0.2577,0.2239
2026-07-15T10:38:08.109,38013,1.6649,0.2418,0.2523,0.2271
2026-07-15T10:38:08.263,38166,1.669,0.2413,0.2532,0.2226
2026-07-15T10:38:08.415,38319,1.6726,0.2431,0.2513,0.2258
2026-07-15T10:38:08.569,38472,1.6685,0.2413,0.2541,0.2248
2026-07-15T10:38:08.721,38625,1.6703,0.2436,0.2518,0.2285
2026-07-15T10:38:08.875,38778,1.6694,0.2408,0.2509,0.2276
2026-07-15T10:38:09.027,38931,1.6708,0.244,0.2564,0.2244
2026-07-15T10:38:09.180,39084,1.674,0.2436,0.2555,0.2267
